  74 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Pharmacy Distribution Center.                                                                                                                                                                                                                            |   86500 | 1988-01-01  | 31.4504629 |  -83.5084973 | 010100002031BF0D00DFE0AE6C1FBB61C128AA3BC6BE294C41 |     1 |
  75 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Converted a Photo lab into a Pharmaceutical Distribution Center.                                                                                                                                                                                         |   66300 | 1997-01-01  |  39.620583 |   -77.810056 | 010100002031BF0D00C42100FA618560C184F4CDA9335A5241 |     1 |
  76 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Print Solutions Distribution Center which is an In-house plant dedicated to printing materials such as signage, training manuals, labels, guides, forms, etc. Originally constructed to 198,000 sf and expanded in 2007.                                 |  390000 | 1997-03-01  |  36.358551 |   -94.194684 | 010100002031BF0D00481A4408F9FF63C13E6883901D985041 |     1 |
  77 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Originally constructed to 150,000 sq ft to serve as a redistribution center. Later expanded in 1981. This was the 2nd DC in the network. Currently serves as a Walmart Return Center with 400 associates.                                                |  225000 | 1975-01-01  |  36.367588 |  -94.1954869 | 010100002031BF0D00C71C6034040064C1BF52C1E055995041 |     1 |
  78 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Walmart & Sams Club Return Distribution Center.                                                                                                                                                                                                          |  675000 |             |  36.360168 |  -94.1901682 | 010100002031BF0D0060E9F931BAFF63C19752C57155985041 |     1 |
  79 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Walmart Reclamation Center.                                                                                                                                                                                                                              |   72000 | 2005-09-01  |  36.378192 |   -94.222546 | 010100002031BF0D004062F1BA7C0164C1DC0C6B64C49A5041 |     1 |
  80 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Outsourced to 3PL Exel Logistics. Walmart Return Distribution Center.                                                                                                                                                                                    |  266400 |             |  39.817551 |  -86.0250609 | 010100002031BF0D002AF5313FE94362C18B0D7E260A765241 |     1 |
  81 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Outsourced to 3PL Exel Logistics. Walmart Return Distribution Center.                                                                                                                                                                                    |  106700 |             |  36.237969 |  -115.122126 | 010100002031BF0D00AF61400E7D7168C1201CCFC8D9875041 |     1 |
  82 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Outsourced to 3PL Power Logistics of Exel North American Logistics, Inc. Walmart Return Distribution Center.                                                                                                                                             |  207600 | 1996-01-01  |  42.987274 |   -74.392697 | 010100002031BF0D006095854943975FC13A8050C194415441 |     1 |
 129 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          |  868000 | 2000-01-01  |  42.989233 |   -74.405088 | 010100002031BF0D00AAB78C209C985FC1C93C2C49DF415441 |     1 |
